"feature","DHMR001","DHMR002","DHMR003","DHMR004","DHMR009","DHMR010","DHMR011","DHMR012"
"Armc2",32,54,49,66,54,53,36,37
"Armc5",443,869,662,760,818,770,764,750
"Armc6",685,1189,1373,1203,1098,1053,1084,1152
"Armc7",140,244,349,283,202,276,346,308
"Armc8",728,1395,1196,1482,1526,1388,1179,1471
"Armc9",389,720,747,709,693,729,790,749
"Armcx1",513,1065,1129,1194,1246,1465,1332,1394
"Armcx2",2834,5107,5574,5614,5187,4938,4468,4319
"Armcx3",1105,2005,1813,1943,2029,2194,1894,1791
"Armcx4",647,1541,1485,1541,1586,1319,1038,1462
"Armcx5",152,316,294,330,323,371,300,307
"Armcx6",172,393,444,347,358,364,336,331
"Armt1",783,1366,1493,1496,1548,1422,1326,1415
"Arnt",2277,4477,4420,4469,4304,4388,4497,4591
"Arnt2",424,787,805,777,718,769,896,785
"Arntl",816,1457,1276,1467,1564,1525,1725,1769
"Arntl2",109,213,143,207,195,191,159,201
"Arpc1a",1761,3179,3250,3299,3122,2971,3105,3211
"Arpc1b",5993,11625,11615,11559,11048,11566,13037,11656
"Arpc2",7195,12660,15063,14417,12995,12540,11949,12869
"Arpc3",2650,4870,5641,5040,4795,4580,4767,4738
"Arpc4",3085,5070,5857,5554,4805,4410,4600,4743
"Arpc5",4611,7446,9291,9446,7859,6598,6909,8051
"Arpc5l",1240,2270,2657,2483,2293,2054,2271,2541
"Arpin",837,1393,1403,1485,1411,1147,1146,1291
"Arpp19",1732,3660,3175,3673,3563,3893,3494,3421
"Arpp21",623,1020,1193,1137,1147,943,618,1003
"Arr3",0,0,1,0,2,0,0,1
"Arrb1",616,1075,1019,1139,1014,865,968,938
"Arrb2",396,752,711,727,778,771,825,770
"Arrdc1",158,252,203,288,305,299,325,309
"Arrdc2",148,280,355,313,263,351,362,387
"Arrdc3",431,1016,981,1182,1032,1293,1546,1559
"Arrdc4",25,69,81,84,73,74,136,107
"Arsa",1224,2845,2179,2316,2780,3327,3404,2763
"Arsb",1675,2763,3059,3178,3091,2754,2446,2554
"Arsg",47,155,166,125,158,190,197,128
"Arsi",45,44,48,65,57,20,23,45
"Arsj",412,711,820,1025,817,601,561,703
"Arsk",268,523,526,585,601,647,650,606
"Art1",173,267,543,319,324,258,224,330
"Art2a-ps",0,0,1,0,0,1,1,1
"Art3",35,43,59,63,40,48,28,31
"Art5",35,74,89,67,61,72,52,65
"Artn",81,151,88,114,151,156,153,158
"Arv1",93,164,167,159,148,144,190,175
"Arvcf",487,1061,1049,971,1016,1234,1312,1052
"Arx",76,70,133,106,99,46,33,96
"Arxes1",1,3,4,4,2,4,5,3
"Arxes2",108,172,153,192,150,148,134,171
"As3mt",302,620,561,516,637,677,565,566
"Asah1",4222,9418,8631,8640,10249,12483,12924,11619
"Asah2",224,521,367,476,522,591,483,445
"Asap1",4034,8361,6522,8249,9006,9112,7831,7787
"Asap2",305,512,554,540,536,524,598,569
"Asap3",496,1000,1060,1007,1023,1076,1186,970
"Asb1",556,1610,1303,1186,1593,1239,1572,1283
"Asb10",0,3,4,1,0,5,5,2
"Asb11",5,5,4,7,6,3,3,6
"Asb12",1,2,0,1,3,1,0,0
"Asb13",98,188,180,184,183,176,233,197
"Asb14",15,35,44,34,35,26,18,31
"Asb15",5,4,6,8,9,7,3,4
"Asb16",21,37,41,38,46,42,29,43
"Asb2",121,165,292,241,179,125,84,132
"Asb3",495,1058,1079,948,1007,1045,1009,1083
"Asb5",6476,14411,15045,13147,15427,17961,16767,16006
"Asb6",809,1562,1763,1601,1492,1697,1765,1637
"Asb7",482,970,819,933,1057,1142,986,1019
"Asb8",1279,2390,2811,2523,2351,2323,2244,2363
"Ascc1",486,1187,934,896,1079,1216,1251,1188
"Ascc2",911,1885,1914,1658,1996,1732,2002,1847
"Ascc3",528,1717,828,1203,1131,1363,1249,1285
"Ascl3",1,1,0,1,3,6,3,3
"Ascl5",0,3,0,1,1,3,2,2
"Asf1a",467,840,997,1069,940,932,853,961
"Asf1b",1430,1689,2095,2318,1499,592,537,1264
"Asgr1",3,4,8,7,3,10,10,2
"Asgr2",4,3,12,7,2,4,6,8
"Ash1l",941,3032,1550,2134,2486,2674,2403,2362
"Ash2l",2153,3899,4387,4229,3889,3475,3759,3941
"Asic1",90,203,189,175,215,222,246,245
"Asic3",3,6,5,8,6,11,12,16
"Asic4",0,0,3,0,0,3,2,2
"Asl",706,1585,1450,1329,1525,1633,1554,1492
"Asmt",1,3,0,3,0,0,0,4
"Asna1",2740,5537,5948,5168,5097,5340,5825,5546
"Asns",1267,3992,3166,2435,3931,5314,6680,5854
"Asnsd1",1390,2783,2470,2676,3020,3198,2737,2902
"Aspa",68,110,150,147,100,74,41,97
"Aspg",3,3,6,5,4,2,3,6
"Asph",2086,4319,3533,4380,4550,4619,4019,3829
"Asphd2",15,27,37,31,23,21,32,32
"Aspm",509,1023,551,846,708,424,283,561
"Aspn",111,248,161,263,202,255,110,97
"Asprv1",13,15,24,18,26,21,8,32
"Aspscr1",897,1755,1798,1679,1618,1691,1951,1918
"Asrgl1",180,293,407,371,308,215,331,369
"Ass1",0,2,0,0,0,0,1,1
"Aste1",149,269,301,285,298,255,260,295
"Astn1",2,2,4,4,5,12,7,3
"Asun",1110,1855,2015,2149,1922,1790,1928,2011
"Asxl1",2222,3947,3946,4027,4190,4124,4077,3840
"Asxl2",652,1927,1163,1493,1719,1865,1711,1759
"Atad1",1945,4285,3806,4351,4678,5225,4618,4741
"Atad2",662,1972,766,1317,1200,827,714,1184
"Atad2b",308,1062,598,764,876,880,771,783
"Atad3a",1101,1941,2379,2185,1871,1785,2014,2113
"Atad3aos",4,19,15,11,15,10,10,8
